species,condition,base_lr,metric,mean,ci_low,ci_high,n_subjects
minipigs,transfer_adapter_warmup_discriminative,0.0003,f1_delta,-0.02240755375539198,-0.05069982539862394,0.006143257421042238,7
minipigs,transfer_adapter_warmup_discriminative,0.0003,stable_step_saved,-2678.2485569985574,-3602.9920634920636,-1720.9920634920636,7
minipigs,transfer_adapter_warmup_discriminative,0.0015,f1_delta,0.004163368179061012,-0.004764781227338033,0.013637335914553992,7
minipigs,transfer_adapter_warmup_discriminative,0.0015,stable_step_saved,-1379.183261183261,-2024.7301587301586,-762.7857142857143,7
minipigs,transfer_adapter_warmup_discriminative,0.003,f1_delta,0.017678881491417497,0.0009859232675461435,0.03988405829900272,7
minipigs,transfer_adapter_warmup_discriminative,0.003,stable_step_saved,-590.5393217893218,-881.2532467532468,-324.5660984848496,7
minipigs,transfer_adapter_warmup_uniform,0.0003,f1_delta,-0.008399116090387317,-0.03516739202612234,0.010936071378586114,7
minipigs,transfer_adapter_warmup_uniform,0.0003,stable_step_saved,-305.81944444444446,-732.9087301587302,84.42857142857143,7
minipigs,transfer_adapter_warmup_uniform,0.0015,f1_delta,-0.008546886264116735,-0.020079472993633576,0.002000415407411455,7
minipigs,transfer_adapter_warmup_uniform,0.0015,stable_step_saved,-365.1751443001443,-934.1172032828282,178.7063492063492,7
minipigs,transfer_adapter_warmup_uniform,0.003,f1_delta,-0.002145120137590178,-0.013991378516517852,0.011030690768709439,7
minipigs,transfer_adapter_warmup_uniform,0.003,stable_step_saved,-5.914321789321775,-322.1801948051948,429.5324675324676,7
minipigs,transfer_discriminative,0.0003,f1_delta,-0.021563477988904536,-0.03119705292499729,-0.01051783384311771,7
minipigs,transfer_discriminative,0.0003,stable_step_saved,-2548.9568903318905,-3531.292207792208,-1734.954365079365,7
minipigs,transfer_discriminative,0.0015,f1_delta,0.020857024386869188,0.0014803662829633276,0.04613345763867809,7
minipigs,transfer_discriminative,0.0015,stable_step_saved,-1222.70183982684,-1579.2792207792209,-839.8804112554113,7
minipigs,transfer_discriminative,0.003,f1_delta,0.01869054205586643,0.0024003355937215792,0.04008048347064427,7
minipigs,transfer_discriminative,0.003,stable_step_saved,-94.0501443001443,-629.8874458874458,520.1785714285714,7
minipigs,transfer_uniform,0.0003,f1_delta,-0.00796308224647164,-0.01719969111893858,0.0027211290927977266,7
minipigs,transfer_uniform,0.0003,stable_step_saved,-138.27904040404044,-567.5892857142857,244.84595959595956,7
minipigs,transfer_uniform,0.0015,f1_delta,-0.0043197576209236255,-0.01063394614241342,0.003542040430364165,7
minipigs,transfer_uniform,0.0015,stable_step_saved,-74.11544011544014,-403.59595959595964,181.85678210678208,7
minipigs,transfer_uniform,0.003,f1_delta,0.008989884745205996,-0.011207924239219172,0.04022362520770422,7
minipigs,transfer_uniform,0.003,stable_step_saved,-274.9931457431457,-1281.6915584415583,487.2857142857143,7
monkeys,transfer_adapter_warmup_discriminative,0.0003,f1_delta,0.006944891148143345,-0.03080545796288383,0.05132068031364016,5
monkeys,transfer_adapter_warmup_discriminative,0.0003,stable_step_saved,-3357.622222222222,-5367.4,-2074.666666666667,5
monkeys,transfer_adapter_warmup_discriminative,0.0015,f1_delta,-0.019185216559304125,-0.041728785302903915,0.0033583521842956653,5
monkeys,transfer_adapter_warmup_discriminative,0.0015,stable_step_saved,-1435.8222222222223,-2036.8,-834.8444444444445,5
monkeys,transfer_adapter_warmup_discriminative,0.003,f1_delta,0.018976880113283794,-0.0015742580095926772,0.03952801823616027,5
monkeys,transfer_adapter_warmup_discriminative,0.003,stable_step_saved,-1298.5555555555554,-1715.8,-881.3111111111111,5
monkeys,transfer_adapter_warmup_uniform,0.0003,f1_delta,-0.015171468589040981,-0.031932235426372954,0.004110949900415195,5
monkeys,transfer_adapter_warmup_uniform,0.0003,stable_step_saved,586.2,65.8,1096.0,5
monkeys,transfer_adapter_warmup_uniform,0.0015,f1_delta,-0.03133799831072488,-0.05614144007364906,-0.004212838411331177,5
monkeys,transfer_adapter_warmup_uniform,0.0015,stable_step_saved,-556.0666666666667,-1616.2,128.9333333333333,5
monkeys,transfer_adapter_warmup_uniform,0.003,f1_delta,0.005251991748809803,-0.033444279432296754,0.040194171667098974,5
monkeys,transfer_adapter_warmup_uniform,0.003,stable_step_saved,-771.5333333333333,-1388.7333333333331,-156.4666666666666,5
monkeys,transfer_discriminative,0.0003,f1_delta,0.019927442404958938,-0.005742391612794662,0.04559727642271254,5
monkeys,transfer_discriminative,0.0003,stable_step_saved,-2858.4,-5304.0,-1078.8,5
monkeys,transfer_discriminative,0.0015,f1_delta,-0.002511524160703027,-0.035816905895868945,0.03766737381617228,5
monkeys,transfer_discriminative,0.0015,stable_step_saved,-2706.6,-5539.6,-1084.4,5
monkeys,transfer_discriminative,0.003,f1_delta,0.017073164714707267,-0.007747458418210351,0.03817737400531769,5
monkeys,transfer_discriminative,0.003,stable_step_saved,-1008.2666666666668,-1925.0,-421.4666666666667,5
monkeys,transfer_uniform,0.0003,f1_delta,0.01263894968562656,-0.011407995223999023,0.03374317751990425,5
monkeys,transfer_uniform,0.0003,stable_step_saved,391.95555555555546,86.75555555555547,732.6,5
monkeys,transfer_uniform,0.0015,f1_delta,0.0015646470917595801,-0.012391439411375249,0.01552073359489441,5
monkeys,transfer_uniform,0.0015,stable_step_saved,38.91111111111113,-315.7777777777777,393.6,5
monkeys,transfer_uniform,0.003,f1_delta,0.007659970058335197,-0.01993807289335463,0.02991223633289337,5
monkeys,transfer_uniform,0.003,stable_step_saved,157.7333333333333,-685.6,856.9333333333332,5
