condition,species,subject,recording,base_lr,adapter_warmup_steps,source,cell_id,run_id,run_name,state,test_supported_f1,best_val_supported_f1,analysis_eligible,analysis_error,stable_step,censored
transfer_discriminative,minipigs,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,0.003,0,pretrained,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_discriminative__lr0p003__f1__t42,30845541,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_discriminative__lr0p003__f1__t42,finished,0.4016087055206299,0.5172094702720642,True,,857.0,False
transfer_uniform,minipigs,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,0.0003,0,pretrained,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_uniform__lr0p0003__f1__t42,37740c75,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_uniform__lr0p0003__f1__t42,finished,0.3948521614074707,0.5002079010009766,True,,1781.0,False
transfer_adapter_warmup_discriminative,minipigs,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,0.0015,500,pretrained,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0015__f1__t42,e30c0564,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0015__f1__t42,finished,0.3496263921260834,0.490017831325531,True,,1715.0,False
transfer_uniform,minipigs,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,0.003,0,pretrained,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_uniform__lr0p003__f1__t42,f1cf1e0f,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_uniform__lr0p003__f1__t42,finished,0.39408883452415466,0.5222182273864746,True,,3761.0,True
transfer_discriminative,minipigs,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,0.0003,0,pretrained,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0003__f1__t42,1f7fe207,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0003__f1__t42,finished,0.4514887034893036,0.5217680335044861,True,,1979.0,False
transfer_adapter_warmup_uniform,minipigs,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,0.0015,500,pretrained,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0015__f1__t42,cac8c1a4,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0015__f1__t42,finished,0.4187561273574829,0.5247402191162109,True,,1055.0,False
transfer_adapter_warmup_uniform,minipigs,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,0.0003,500,pretrained,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0003__f1__t42,e67a932a,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0003__f1__t42,finished,0.3638901710510254,0.05012531206011772,True,,1121.0,False
transfer_adapter_warmup_uniform,minipigs,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,0.003,500,pretrained,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p003__f1__t42,daa91534,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p003__f1__t42,finished,0.359200119972229,0.49372613430023193,True,,1385.0,False
transfer_discriminative,minipigs,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,0.0015,0,pretrained,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0015__f1__t42,0a8c2c2d,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0015__f1__t42,finished,0.36463290452957153,0.07155297696590424,True,,1451.0,False
transfer_adapter_warmup_discriminative,minipigs,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,0.0003,500,pretrained,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0003__f1__t42,080058b1,phase4d-transfer-lr-warmup__minipigs__sub-01_ses-01_task-AcousStim_acq-LH_desc-raw__fullpool-minipigs-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0003__f1__t42,finished,0.3673262298107147,0.507392168045044,True,,2243.0,False
