species,condition,base_lr,subject,test_supported_f1,stable_step,censored
minipigs,scratch_adapter_warmup,0.0003,sub-01,0.4447298049926758,3044.0,0.0
minipigs,scratch_adapter_warmup,0.0003,sub-02,0.4001113027334213,2869.75,0.0
minipigs,scratch_adapter_warmup,0.0003,sub-03,0.5353844978592612,3544.3636363636365,0.0
minipigs,scratch_adapter_warmup,0.0003,sub-04,0.412071293219924,2255.75,0.0
minipigs,scratch_adapter_warmup,0.0003,sub-05,0.3729347586631775,1781.0,0.0
minipigs,scratch_adapter_warmup,0.0003,sub-06,0.25305311381816864,2913.5,0.0
minipigs,scratch_adapter_warmup,0.0003,sub-07,0.527729805972841,1650.888888888889,0.0
minipigs,scratch_adapter_warmup,0.0015,sub-01,0.4273006469011307,1518.0,0.0
minipigs,scratch_adapter_warmup,0.0015,sub-02,0.40408938378095627,2599.5,0.0
minipigs,scratch_adapter_warmup,0.0015,sub-03,0.5709205920046027,2208.090909090909,0.0
minipigs,scratch_adapter_warmup,0.0015,sub-04,0.41094394586980343,1884.875,0.0
minipigs,scratch_adapter_warmup,0.0015,sub-05,0.39555777981877327,1482.5,0.0
minipigs,scratch_adapter_warmup,0.0015,sub-06,0.2621031552553177,2913.5,0.0
minipigs,scratch_adapter_warmup,0.0015,sub-07,0.5599935948848724,1114.0,0.0
minipigs,scratch_adapter_warmup,0.003,sub-01,0.37081779539585114,1224.0,0.0
minipigs,scratch_adapter_warmup,0.003,sub-02,0.3781558871269226,2216.25,0.0
minipigs,scratch_adapter_warmup,0.003,sub-03,0.55801461501555,2103.0,0.0
minipigs,scratch_adapter_warmup,0.003,sub-04,0.3968862872570753,1636.75,0.0
minipigs,scratch_adapter_warmup,0.003,sub-05,0.3689386397600174,1481.5,0.0
minipigs,scratch_adapter_warmup,0.003,sub-06,0.2460869550704956,3148.0,0.0
minipigs,scratch_adapter_warmup,0.003,sub-07,0.5643757349914975,1044.111111111111,0.0
minipigs,scratch_uniform,0.0003,sub-01,0.43137139081954956,3126.0,0.0
minipigs,scratch_uniform,0.0003,sub-02,0.39615414291620255,3639.5,0.0
minipigs,scratch_uniform,0.0003,sub-03,0.5423264855688269,2929.6363636363635,0.09090909090909091
minipigs,scratch_uniform,0.0003,sub-04,0.4161040857434273,2328.75,0.0
minipigs,scratch_uniform,0.0003,sub-05,0.3950638324022293,2040.5,0.25
minipigs,scratch_uniform,0.0003,sub-06,0.29028718173503876,2913.5,0.0
minipigs,scratch_uniform,0.0003,sub-07,0.5559121436542935,1603.3333333333333,0.0
minipigs,scratch_uniform,0.0015,sub-01,0.4285019636154175,1716.0,0.0
minipigs,scratch_uniform,0.0015,sub-02,0.3974170982837677,2255.0,0.0
minipigs,scratch_uniform,0.0015,sub-03,0.5668524855917151,2162.181818181818,0.0
minipigs,scratch_uniform,0.0015,sub-04,0.3956497237086296,2020.25,0.125
minipigs,scratch_uniform,0.0015,sub-05,0.3878865987062454,1294.5,0.25
minipigs,scratch_uniform,0.0015,sub-06,0.2509266287088394,1707.5,0.0
minipigs,scratch_uniform,0.0015,sub-07,0.5290339158640968,1308.0,0.1111111111111111
minipigs,scratch_uniform,0.003,sub-01,0.39182978868484497,2183.0,0.0
minipigs,scratch_uniform,0.003,sub-02,0.4043002501130104,1798.5,0.0
minipigs,scratch_uniform,0.003,sub-03,0.5520302599126642,2446.909090909091,0.0
minipigs,scratch_uniform,0.003,sub-04,0.40709507279098034,2017.625,0.0
minipigs,scratch_uniform,0.003,sub-05,0.3879188522696495,2125.5,0.0
minipigs,scratch_uniform,0.003,sub-06,0.2618565708398819,3315.5,0.0
minipigs,scratch_uniform,0.003,sub-07,0.5499403410487704,856.3333333333334,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0003,sub-01,0.35839295387268066,6287.0,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0003,sub-02,0.3792337328195572,7156.25,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0003,sub-03,0.48558323220773175,6768.909090909091,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0003,sub-04,0.37881577853113413,4194.0,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0003,sub-05,0.3942495286464691,2838.5,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0003,sub-06,0.2907450720667839,7034.0,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0003,sub-07,0.5021414028273689,2528.3333333333335,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0015,sub-01,0.42121724784374237,3481.0,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0015,sub-02,0.40371789783239365,2871.0,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0015,sub-03,0.56535635211251,3648.818181818182,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0015,sub-04,0.3999887853860855,3811.875,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0015,sub-05,0.4203917421400547,1800.0,0.0
minipigs,transfer_adapter_warmup_discriminative,0.0015,sub-06,0.27214400470256805,5727.5,0.5
minipigs,transfer_adapter_warmup_discriminative,0.0015,sub-07,0.5772366457515292,2034.5555555555557,0.1111111111111111
minipigs,transfer_adapter_warmup_discriminative,0.003,sub-01,0.39243024587631226,2373.0,0.0
minipigs,transfer_adapter_warmup_discriminative,0.003,sub-02,0.37806057184934616,2685.25,0.0
minipigs,transfer_adapter_warmup_discriminative,0.003,sub-03,0.5621466311541471,2677.6363636363635,0.0
minipigs,transfer_adapter_warmup_discriminative,0.003,sub-04,0.40733507834374905,1764.5,0.0
minipigs,transfer_adapter_warmup_discriminative,0.003,sub-05,0.44645409286022186,1834.5,0.0
minipigs,transfer_adapter_warmup_discriminative,0.003,sub-06,0.2686626464128494,4320.5,0.5
minipigs,transfer_adapter_warmup_discriminative,0.003,sub-07,0.5519388185607063,1332.0,0.0
minipigs,transfer_adapter_warmup_uniform,0.0003,sub-01,0.3650036007165909,4414.0,0.0
minipigs,transfer_adapter_warmup_uniform,0.0003,sub-02,0.3954581990838051,2383.75,0.0
minipigs,transfer_adapter_warmup_uniform,0.0003,sub-03,0.5271439985795454,3385.3636363636365,0.0
minipigs,transfer_adapter_warmup_uniform,0.0003,sub-04,0.4052843004465103,2836.375,0.0
minipigs,transfer_adapter_warmup_uniform,0.0003,sub-05,0.40182744711637497,2062.0,0.0
minipigs,transfer_adapter_warmup_uniform,0.0003,sub-06,0.2542198374867439,3449.5,0.0
minipigs,transfer_adapter_warmup_uniform,0.0003,sub-07,0.5382833811971877,1669.0,0.0
minipigs,transfer_adapter_warmup_uniform,0.0015,sub-01,0.3999311029911041,1880.0,0.0
minipigs,transfer_adapter_warmup_uniform,0.0015,sub-02,0.3898632675409317,1773.25,0.0
minipigs,transfer_adapter_warmup_uniform,0.0015,sub-03,0.5720646354285154,2695.6363636363635,0.0
minipigs,transfer_adapter_warmup_uniform,0.0015,sub-04,0.37850334495306015,2869.75,0.125
minipigs,transfer_adapter_warmup_uniform,0.0015,sub-05,0.40382341109216213,1287.0,0.0
minipigs,transfer_adapter_warmup_uniform,0.0015,sub-06,0.2638198286294937,4588.5,0.0
minipigs,transfer_adapter_warmup_uniform,0.0015,sub-07,0.5630753040313721,1182.5555555555557,0.0
minipigs,transfer_adapter_warmup_uniform,0.003,sub-01,0.3619135320186615,1348.0,0.0
minipigs,transfer_adapter_warmup_uniform,0.003,sub-02,0.37258056551218033,2264.75,0.0
minipigs,transfer_adapter_warmup_uniform,0.003,sub-03,0.5568591464649547,2259.6363636363635,0.0
minipigs,transfer_adapter_warmup_uniform,0.003,sub-04,0.40565820783376694,2283.125,0.0
minipigs,transfer_adapter_warmup_uniform,0.003,sub-05,0.40027375891804695,1468.5,0.0
minipigs,transfer_adapter_warmup_uniform,0.003,sub-06,0.219887837767601,2009.0,0.0
minipigs,transfer_adapter_warmup_uniform,0.003,sub-07,0.5510870251390669,1262.0,0.1111111111111111
minipigs,transfer_discriminative,0.0003,sub-01,0.3957575559616089,5212.0,0.0
minipigs,transfer_discriminative,0.0003,sub-02,0.3719005435705185,5662.75,0.0
minipigs,transfer_discriminative,0.0003,sub-03,0.5072548470713876,7790.181818181818,0.0
minipigs,transfer_discriminative,0.0003,sub-04,0.3848537001758814,4070.375,0.0
minipigs,transfer_discriminative,0.0003,sub-05,0.3947439193725586,4125.0,0.0
minipigs,transfer_discriminative,0.0003,sub-06,0.290622778236866,6866.5,0.0
minipigs,transfer_discriminative,0.0003,sub-07,0.5311415725284152,2697.1111111111113,0.0
minipigs,transfer_discriminative,0.0015,sub-01,0.4253499209880829,3554.0,0.0
minipigs,transfer_discriminative,0.0015,sub-02,0.4124768450856209,3972.0,0.0
minipigs,transfer_discriminative,0.0015,sub-03,0.5640460415319963,3445.6363636363635,0.0
minipigs,transfer_discriminative,0.0015,sub-04,0.39003185741603374,2457.875,0.0
minipigs,transfer_discriminative,0.0015,sub-05,0.4294961392879486,2381.5,0.0
minipigs,transfer_discriminative,0.0015,sub-06,0.2663445919752121,3282.0,0.0
minipigs,transfer_discriminative,0.0015,sub-07,0.6145221889019012,1929.3333333333333,0.0
minipigs,transfer_discriminative,0.003,sub-01,0.4683012068271637,3052.0,0.0
minipigs,transfer_discriminative,0.003,sub-02,0.42442454397678375,2294.75,0.0
minipigs,transfer_discriminative,0.003,sub-03,0.561154230074449,2711.4545454545455,0.0
minipigs,transfer_discriminative,0.003,sub-04,0.3983772061765194,2547.625,0.125
minipigs,transfer_discriminative,0.003,sub-05,0.4020393416285515,1192.0,0.0
minipigs,transfer_discriminative,0.003,sub-06,0.25863662362098694,2009.0,0.0
minipigs,transfer_discriminative,0.003,sub-07,0.5728717777464125,1594.888888888889,0.0
minipigs,transfer_uniform,0.0003,sub-01,0.4265587627887726,3719.0,0.0
minipigs,transfer_uniform,0.0003,sub-02,0.41469569504261017,2985.5,0.0
minipigs,transfer_uniform,0.0003,sub-03,0.5380577092820947,2704.909090909091,0.0
minipigs,transfer_uniform,0.0003,sub-04,0.391748683527112,2532.875,0.0
minipigs,transfer_uniform,0.0003,sub-05,0.3821244612336159,1819.5,0.0
minipigs,transfer_uniform,0.0003,sub-06,0.2655201777815819,4119.5,0.0
minipigs,transfer_uniform,0.0003,sub-07,0.5527721974584792,1667.888888888889,0.0
minipigs,transfer_uniform,0.0015,sub-01,0.4273797422647476,1658.0,0.0
minipigs,transfer_uniform,0.0015,sub-02,0.38950448483228683,2052.25,0.0
minipigs,transfer_uniform,0.0015,sub-03,0.5556671240112998,2169.5454545454545,0.0
minipigs,transfer_uniform,0.0015,sub-04,0.3926313892006874,1858.0,0.125
minipigs,transfer_uniform,0.0015,sub-05,0.37127911299467087,1638.5,0.0
minipigs,transfer_uniform,0.0015,sub-06,0.24402453750371933,2645.5,0.0
minipigs,transfer_uniform,0.0015,sub-07,0.5455437203248342,960.4444444444445,0.0
minipigs,transfer_uniform,0.003,sub-01,0.4902944415807724,5160.0,1.0
minipigs,transfer_uniform,0.003,sub-02,0.38403385132551193,1516.5,0.0
minipigs,transfer_uniform,0.003,sub-03,0.5589319467544556,2375.0,0.0
minipigs,transfer_uniform,0.003,sub-04,0.39831593073904514,1608.375,0.125
minipigs,transfer_uniform,0.003,sub-05,0.37462523579597473,1002.5,0.0
minipigs,transfer_uniform,0.003,sub-06,0.268392376601696,4119.5,0.5
minipigs,transfer_uniform,0.003,sub-07,0.5433065460787879,886.4444444444445,0.0
monkeys,scratch_adapter_warmup,0.0003,sub-01,0.4142894877327813,3926.222222222222,0.0
monkeys,scratch_adapter_warmup,0.0003,sub-02,0.3229403495788574,4576.0,0.0
monkeys,scratch_adapter_warmup,0.0003,sub-03,0.218082532286644,2047.0,0.0
monkeys,scratch_adapter_warmup,0.0003,sub-04,0.5751957893371582,4180.0,0.0
monkeys,scratch_adapter_warmup,0.0003,sub-05,0.7057070136070251,1889.0,0.0
monkeys,scratch_adapter_warmup,0.0015,sub-01,0.43994515803125167,2328.6666666666665,0.0
monkeys,scratch_adapter_warmup,0.0015,sub-02,0.330666720867157,2586.0,0.0
monkeys,scratch_adapter_warmup,0.0015,sub-03,0.24938127398490903,1759.0,0.0
monkeys,scratch_adapter_warmup,0.0015,sub-04,0.5952550172805786,2033.0,0.0
monkeys,scratch_adapter_warmup,0.0015,sub-05,0.7230325937271118,1007.0,0.0
monkeys,scratch_adapter_warmup,0.003,sub-01,0.4076359106434716,2494.222222222222,0.0
monkeys,scratch_adapter_warmup,0.003,sub-02,0.32795339822769165,3581.0,0.0
monkeys,scratch_adapter_warmup,0.003,sub-03,0.1888629645109177,1951.0,0.0
monkeys,scratch_adapter_warmup,0.003,sub-04,0.5498059988021851,1581.0,0.0
monkeys,scratch_adapter_warmup,0.003,sub-05,0.6584697961807251,1133.0,0.0
monkeys,scratch_uniform,0.0003,sub-01,0.3536696566475762,3604.8888888888887,0.0
monkeys,scratch_uniform,0.0003,sub-02,0.32556450366973877,4576.0,0.0
monkeys,scratch_uniform,0.0003,sub-03,0.2279612272977829,2015.0,0.0
monkeys,scratch_uniform,0.0003,sub-04,0.5857542753219604,4180.0,0.0
monkeys,scratch_uniform,0.0003,sub-05,0.6227356195449829,1763.0,0.0
monkeys,scratch_uniform,0.0015,sub-01,0.4218241208129459,2498.3333333333335,0.0
monkeys,scratch_uniform,0.0015,sub-02,0.3411295413970947,3183.0,0.0
monkeys,scratch_uniform,0.0015,sub-03,0.2621386647224426,1407.0,0.0
monkeys,scratch_uniform,0.0015,sub-04,0.5859794020652771,2033.0,0.0
monkeys,scratch_uniform,0.0015,sub-05,0.59993577003479,755.0,0.0
monkeys,scratch_uniform,0.003,sub-01,0.42670101920763653,2158.222222222222,0.0
monkeys,scratch_uniform,0.003,sub-02,0.3297868072986603,3979.0,0.0
monkeys,scratch_uniform,0.003,sub-03,0.24655847251415253,1311.0,0.0
monkeys,scratch_uniform,0.003,sub-04,0.5666407942771912,2711.0,0.0
monkeys,scratch_uniform,0.003,sub-05,0.6015667915344238,1385.0,0.0
monkeys,transfer_adapter_warmup_discriminative,0.0003,sub-01,0.3863009015719096,5783.333333333333,0.0
monkeys,transfer_adapter_warmup_discriminative,0.0003,sub-02,0.3110300302505493,7362.0,0.0
monkeys,transfer_adapter_warmup_discriminative,0.0003,sub-03,0.25232642889022827,4831.0,0.0
monkeys,transfer_adapter_warmup_discriminative,0.0003,sub-04,0.6586451530456543,11525.0,0.0
monkeys,transfer_adapter_warmup_discriminative,0.0003,sub-05,0.6626371145248413,3905.0,0.0
monkeys,transfer_adapter_warmup_discriminative,0.0015,sub-01,0.38457321127255756,2742.777777777778,0.0
monkeys,transfer_adapter_warmup_discriminative,0.0015,sub-02,0.311884343624115,4775.0,0.0
monkeys,transfer_adapter_warmup_discriminative,0.0015,sub-03,0.2549341320991516,3871.0,0.0
monkeys,transfer_adapter_warmup_discriminative,0.0015,sub-04,0.6074892282485962,3615.0,0.0
monkeys,transfer_adapter_warmup_discriminative,0.0015,sub-05,0.6834737658500671,1889.0,0.0
monkeys,transfer_adapter_warmup_discriminative,0.003,sub-01,0.39953643414709306,3195.0,0.0
monkeys,transfer_adapter_warmup_discriminative,0.003,sub-02,0.3189905881881714,5372.0,0.0
monkeys,transfer_adapter_warmup_discriminative,0.003,sub-03,0.22878429293632507,2719.0,0.0
