species,sweep_id,run_id,run_name,state,tokenizer,atn_dropout,learning_rate,weight_decay,grad_clip,fold,split_type,batch_size,f1,auroc,precision,recall,balanced_acc
minipigs,9cr4zl3u,skj451el,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_dim512,0.2,2.75e-05,0.08,0.5,0,intrasession-block,128,0.3785489499568939,0.7808332443237305,0.38516944646835327,0.3752492070198059,0.3752492070198059
minipigs,9cr4zl3u,g3ju582a,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.75e-05,0.1,0.5,0,intrasession-block,128,0.3779039978981018,0.7832815647125244,0.38550329208374023,0.37640851736068726,0.37640851736068726
minipigs,9cr4zl3u,wibu76bp,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_dim512,0.2,2.75e-05,0.1,0.5,0,intrasession-block,128,0.37777093052864075,0.7810566425323486,0.3846607804298401,0.37435710430145264,0.37435710430145264
minipigs,9cr4zl3u,2pnannb5,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,3e-05,0.08,0.5,0,intrasession-block,128,0.377144455909729,0.7861505746841431,0.3857293426990509,0.3735983371734619,0.3735983371734619
minipigs,9cr4zl3u,aej9a8j9,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,2.75e-05,0.08,0.5,0,intrasession-block,128,0.3766199350357056,0.7830361127853394,0.38554060459136963,0.37379366159439087,0.37379366159439087
minipigs,9cr4zl3u,mr0owlfp,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,3e-05,0.1,0.5,0,intrasession-block,128,0.3754381835460663,0.7801244258880615,0.3811590075492859,0.3725065588951111,0.3725065588951111
minipigs,9cr4zl3u,wbg8xnc5,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_dim512,0.4,3e-05,0.08,0.5,0,intrasession-block,128,0.3740243911743164,0.7791699767112732,0.38191765546798706,0.371288001537323,0.371288001537323
minipigs,9cr4zl3u,8furersl,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_add,0.2,3e-05,0.1,0.5,0,intrasession-block,128,0.3737857639789582,0.7858790159225464,0.3823812007904053,0.37036973237991333,0.37036973237991333
minipigs,9cr4zl3u,8qvop2g8,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_dim512,0.2,3e-05,0.08,0.5,0,intrasession-block,128,0.3731965124607086,0.781850278377533,0.38075870275497437,0.37039417028427124,0.37039417028427124
minipigs,9cr4zl3u,xkma6ekq,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_dim512,0.4,3e-05,0.1,0.5,0,intrasession-block,128,0.37307286262512207,0.7780733108520508,0.38117921352386475,0.36945879459381104,0.36945879459381104
minipigs,9cr4zl3u,648nw7br,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,2.75e-05,0.1,0.5,0,intrasession-block,128,0.37282052636146545,0.7812066078186035,0.3808179199695587,0.37055492401123047,0.37055492401123047
minipigs,9cr4zl3u,5sezs1mi,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,128,0.3725771903991699,0.7810883522033691,0.3800849914550781,0.3717176616191864,0.3717176616191864
minipigs,9cr4zl3u,ifnk9xve,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.4,3e-05,0.08,0.5,0,intrasession-block,128,0.3725234866142273,0.7776715159416199,0.37896543741226196,0.3695433735847473,0.3695433735847473
minipigs,9cr4zl3u,arg02a3y,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_dim512,0.2,3e-05,0.1,0.5,0,intrasession-block,128,0.37226948142051697,0.7812398076057434,0.3816946744918823,0.3691433072090149,0.3691433072090149
minipigs,9cr4zl3u,uhp1gz9m,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,3e-05,0.08,0.5,0,intrasession-block,128,0.37218889594078064,0.7814724445343018,0.38346487283706665,0.3690599799156189,0.3690599799156189
minipigs,9cr4zl3u,5f9ueu5p,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn,0.2,2.5e-05,0.1,0.5,0,intrasession-block,128,0.37178468704223633,0.7777829170227051,0.3794814944267273,0.3698527216911316,0.3698527216911316
minipigs,9cr4zl3u,38p1d26i,poyo_eeg_neurosoft_8band,finished,per_channel_resample_cnn_dim512,0.2,2.5e-05,0.08,0.5,0,intrasession-block,128,0.3716840445995331,0.7776325941085815,0.3784469962120056,0.36958855390548706,0.36958855390548706
