species,paradigm,sweep_id,run_id,run_name,state,group,tokenizer,atn_dropout,learning_rate,weight_decay,grad_clip,fold,split_type,subject,recording_id,n_recordings,f1,auroc,precision,recall,balanced_acc
minipigs,single-session,hiyb4224,7hjvx38d,poyo_eeg_neurosoft_8band_sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,1,0.2609400153160095,0.4801334142684936,0.3762175440788269,0.263741135597229,0.263741135597229
minipigs,single-session,hiyb4224,wdbqsbpb,poyo_eeg_neurosoft_8band_sub-01_ses-02_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-01,sub-01_ses-02_task-AcousStim_acq-LH_desc-raw,1,0.165872260928154,0.6373434066772461,0.2588999271392822,0.1948580145835876,0.1948580145835876
minipigs,single-session,hiyb4224,dup857b2,poyo_eeg_neurosoft_8band_sub-02_ses-01_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-02,sub-02_ses-01_task-AcousStim_acq-LH_desc-raw,1,0.3960914611816406,0.5631806254386902,0.4911477565765381,0.4067688584327698,0.4067688584327698
minipigs,single-session,hiyb4224,bgqu07fq,poyo_eeg_neurosoft_8band_sub-02_ses-01_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-02,sub-02_ses-01_task-AcousStim_acq-RH_desc-raw,1,0.1143003106117248,0.4217734932899475,0.0947712436318397,0.1769736856222152,0.1769736856222152
minipigs,single-session,hiyb4224,7r2oy36h,poyo_eeg_neurosoft_8band_sub-02_ses-02_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-02,sub-02_ses-02_task-AcousStim_acq-LH_desc-raw,1,0.1087137013673782,0.5714137554168701,0.094120442867279,0.1566406190395355,0.1566406190395355
minipigs,single-session,hiyb4224,99irqzkt,poyo_eeg_neurosoft_8band_sub-02_ses-02_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-02,sub-02_ses-02_task-AcousStim_acq-RH_desc-raw,1,0.0971273332834243,0.5087092518806458,0.0784988030791282,0.1392728388309478,0.1392728388309478
minipigs,single-session,hiyb4224,hsfqhcp5,poyo_eeg_neurosoft_8band_sub-03_ses-01_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-03,sub-03_ses-01_task-AcousStim_acq-LH_desc-raw,1,0.5188193321228027,0.7263976335525513,0.5937427282333374,0.5204423666000366,0.5204423666000366
minipigs,single-session,hiyb4224,8cdi295n,poyo_eeg_neurosoft_8band_sub-03_ses-01_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-03,sub-03_ses-01_task-AcousStim_acq-RH_desc-raw,1,0.4561699330806732,0.6770622730255127,0.5081964135169983,0.4543439745903015,0.4543439745903015
minipigs,single-session,hiyb4224,20afehlz,poyo_eeg_neurosoft_8band_sub-03_ses-03_task-AcousStim_acq-LHanest_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-03,sub-03_ses-03_task-AcousStim_acq-LHanest_desc-raw,1,0.6030696630477905,0.898360013961792,0.6187831163406372,0.5971313714981079,0.5971313714981079
minipigs,single-session,hiyb4224,0v89ec46,poyo_eeg_neurosoft_8band_sub-03_ses-03_task-AcousStim_acq-RHanest_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-03,sub-03_ses-03_task-AcousStim_acq-RHanest_desc-raw,1,0.4179987907409668,0.7704827189445496,0.4666886925697326,0.4172756373882293,0.4172756373882293
minipigs,single-session,hiyb4224,wawhv5wc,poyo_eeg_neurosoft_8band_sub-03_ses-04_task-AcousStim_acq-LHanest_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-03,sub-03_ses-04_task-AcousStim_acq-LHanest_desc-raw,1,0.0978524759411811,0.4696647524833679,0.0727472528815269,0.1585652530193328,0.1585652530193328
minipigs,single-session,hiyb4224,phwdxlzm,poyo_eeg_neurosoft_8band_sub-03_ses-04_task-AcousStim_acq-RHanest_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-03,sub-03_ses-04_task-AcousStim_acq-RHanest_desc-raw,1,0.0841674730181694,0.4892993569374085,0.0729166641831398,0.1445887386798858,0.1445887386798858
