species,sweep_id,run_id,run_name,state,is_baseline,smoothing,cw_mode,fold,tokenizer,atn_dropout,learning_rate,weight_decay,grad_clip,split_type,f1,auroc,precision,recall,balanced_acc
minipigs,w74jfier,t4pf8pyr,poyo_eeg_neurosoft_8band,finished,False,0.5,,0,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.36901041865348816,0.786819338798523,0.37486493587493896,0.37906312942504883,0.37906312942504883
minipigs,w74jfier,4st4nl9g,poyo_eeg_neurosoft_8band,finished,False,0.5,,1,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.35569220781326294,0.7707117795944214,0.35902804136276245,0.3632463216781616,0.3632463216781616
minipigs,w74jfier,43nvupdm,poyo_eeg_neurosoft_8band,finished,False,0.5,,2,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.35739344358444214,0.7701072096824646,0.361738383769989,0.3633454144001007,0.3633454144001007
minipigs,w74jfier,wj09rzw3,poyo_eeg_neurosoft_8band,finished,False,0.75,,0,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.3764728307723999,0.7849016189575195,0.378044992685318,0.38287317752838135,0.38287317752838135
minipigs,w74jfier,srby6m1h,poyo_eeg_neurosoft_8band,finished,False,0.75,,1,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.35483717918395996,0.7727388739585876,0.3549728989601135,0.36266547441482544,0.36266547441482544
minipigs,w74jfier,4xee5g6m,poyo_eeg_neurosoft_8band,finished,False,0.75,,2,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.3585127294063568,0.7685056924819946,0.3606705665588379,0.36472830176353455,0.36472830176353455
minipigs,w74jfier,vxtomyo3,poyo_eeg_neurosoft_8band,finished,False,1.0,,0,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.3725307881832123,0.7885454893112183,0.373358815908432,0.3873538374900818,0.3873538374900818
minipigs,w74jfier,qkuu79uh,poyo_eeg_neurosoft_8band,finished,False,1.0,,1,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.3442043960094452,0.7708864808082581,0.34944385290145874,0.3585973083972931,0.3585973083972931
minipigs,w74jfier,u3l01kya,poyo_eeg_neurosoft_8band,finished,False,1.0,,2,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.3474193215370178,0.7691136598587036,0.3636777400970459,0.36003541946411133,0.36003541946411133
monkeys,nxx4a4pn,bxy6sm7l,poyo_eeg_neurosoft_8band,finished,False,0.5,,0,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.4943070113658905,0.879418134689331,0.49258336424827576,0.5049961805343628,0.5049961805343628
monkeys,nxx4a4pn,l8dk1lip,poyo_eeg_neurosoft_8band,finished,False,0.5,,1,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.48415639996528625,0.8772863149642944,0.48243486881256104,0.4966924786567688,0.4966924786567688
monkeys,nxx4a4pn,px7ssgp0,poyo_eeg_neurosoft_8band,finished,False,0.5,,2,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.5143339037895203,0.8863279819488525,0.5120177268981934,0.527202308177948,0.527202308177948
monkeys,nxx4a4pn,nplojx6d,poyo_eeg_neurosoft_8band,finished,False,0.75,,0,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.4970475733280182,0.8809438943862915,0.497342586517334,0.5102304816246033,0.5102304816246033
monkeys,nxx4a4pn,m0h2hnhv,poyo_eeg_neurosoft_8band,finished,False,0.75,,1,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.4886220395565033,0.8801300525665283,0.48826801776885986,0.5020584464073181,0.5020584464073181
monkeys,nxx4a4pn,5r6ho2rd,poyo_eeg_neurosoft_8band,finished,False,0.75,,2,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.5138640403747559,0.8847359418869019,0.5129421949386597,0.5226558446884155,0.5226558446884155
monkeys,nxx4a4pn,vv4a5uv7,poyo_eeg_neurosoft_8band,finished,False,1.0,,0,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.5041117072105408,0.8847172856330872,0.5019400715827942,0.5190340280532837,0.5190340280532837
monkeys,nxx4a4pn,sm9y8hg1,poyo_eeg_neurosoft_8band,finished,False,1.0,,1,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.4962175786495209,0.8808666467666626,0.49597325921058655,0.5146066546440125,0.5146066546440125
monkeys,nxx4a4pn,5up66nyf,poyo_eeg_neurosoft_8band,finished,False,1.0,,2,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.5085128545761108,0.8856910467147827,0.5060023069381714,0.5263253450393677,0.5263253450393677
minipigs,47jd29ds,skkz2nec,poyo_eeg_neurosoft_8band,finished,True,,,0,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.3627350926399231,0.7824782133102417,0.37913745641708374,0.3648206293582916,0.3648206293582916
minipigs,47jd29ds,lalohvan,poyo_eeg_neurosoft_8band,finished,True,,,1,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.3559626340866089,0.7722762823104858,0.3822086453437805,0.3547638952732086,0.3547638952732086
minipigs,47jd29ds,wczgrx86,poyo_eeg_neurosoft_8band,finished,True,,,2,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,intrasession-block,0.3603646159172058,0.7721401453018188,0.37614020705223083,0.3587917983531952,0.3587917983531952
monkeys,bvcgw95o,ljqfklu4,poyo_eeg_neurosoft_8band,finished,True,,,0,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.49636468291282654,0.8799620866775513,0.4967339038848877,0.5059937238693237,0.5059937238693237
monkeys,bvcgw95o,tnspfvt2,poyo_eeg_neurosoft_8band,finished,True,,,1,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.4886689782142639,0.8782005906105042,0.48655420541763306,0.4988952875137329,0.4988952875137329
monkeys,bvcgw95o,tpln4yqa,poyo_eeg_neurosoft_8band,finished,True,,,2,per_channel_resample_cnn_add,0.4,2.5e-05,0.08,1.0,intrasession-block,0.5129966139793396,0.8836374878883362,0.5099746584892273,0.523747980594635,0.523747980594635
