species,sweep_id,run_id,run_name,state,is_baseline,target_token_rate,weight_decay,smoothing,fold,tokenizer,atn_dropout,learning_rate,split_type,f1,auroc,precision,recall,balanced_acc
minipigs,04jorgw5,8ms33kpn,poyo_eeg_neurosoft_8band,crashed,False,50,0.1,0.75,0,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,,,,,
minipigs,04jorgw5,d65waf2f,poyo_eeg_neurosoft_8band,crashed,False,200,0.1,0.75,0,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,,,,,
minipigs,04jorgw5,oa7vr5mf,poyo_eeg_neurosoft_8band,crashed,False,50,0.08,0.75,1,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,,,,,
minipigs,04jorgw5,le2od1o9,poyo_eeg_neurosoft_8band,crashed,False,200,0.08,0.75,1,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,,,,,
minipigs,04jorgw5,b1z8irey,poyo_eeg_neurosoft_8band,finished,False,200,0.08,0.75,0,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.35865235328674316,0.7891609072685242,0.3623201251029968,0.36655810475349426,0.36655810475349426
minipigs,04jorgw5,jxjwiijb,poyo_eeg_neurosoft_8band,finished,False,50,0.1,0.75,1,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.343313992023468,0.760927677154541,0.3474180996417999,0.34876567125320435,0.34876567125320435
minipigs,04jorgw5,8lqlanko,poyo_eeg_neurosoft_8band,finished,False,200,0.1,0.75,1,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.3627897500991822,0.7814401984214783,0.36831068992614746,0.37028437852859497,0.37028437852859497
minipigs,04jorgw5,2tbx6b2k,poyo_eeg_neurosoft_8band,finished,False,50,0.08,0.75,0,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.33293992280960083,0.7592297792434692,0.33860301971435547,0.34637171030044556,0.34637171030044556
minipigs,04jorgw5,qkq983cr,poyo_eeg_neurosoft_8band,finished,False,50,0.1,0.75,2,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.33659717440605164,0.7600536346435547,0.344781756401062,0.3419848680496216,0.3419848680496216
minipigs,04jorgw5,2d8cd3iz,poyo_eeg_neurosoft_8band,finished,False,200,0.08,0.75,2,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.3530166745185852,0.772523820400238,0.35420146584510803,0.364910364151001,0.364910364151001
minipigs,04jorgw5,xxptsf3n,poyo_eeg_neurosoft_8band,finished,False,50,0.08,0.75,2,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.3368307948112488,0.7604244947433472,0.3405880331993103,0.34466075897216797,0.34466075897216797
minipigs,04jorgw5,m7k0smql,poyo_eeg_neurosoft_8band,finished,False,200,0.1,0.75,2,per_channel_resample_cnn,0.2,2.75e-05,intrasession-block,0.34679436683654785,0.7717296481132507,0.3491172194480896,0.3572976589202881,0.3572976589202881
