species,sweep_id,run_id,run_name,state,is_baseline,split_type,fold,weight_decay,learning_rate,tokenizer,atn_dropout,grad_clip,f1,auroc,precision,recall,balanced_acc
monkeys,83o9h925,kzcuokcp,poyo_eeg_neurosoft_8band,finished,False,intrasession-causal,0,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,1.0,0.4944399893283844,0.8753702640533447,0.4992726445198059,0.4983839988708496,0.4983839988708496
minipigs,5t68w2o3,s9ax8gn7,poyo_eeg_neurosoft_8band,finished,False,intrasession-causal,0,0.1,2.75e-05,per_channel_resample_cnn,0.2,0.5,0.3416411876678467,0.7587029933929443,0.35550543665885925,0.34230726957321167,0.34230726957321167
minipigs,5t68w2o3,js7t8cz1,poyo_eeg_neurosoft_8band,finished,False,intrasession-causal,0,0.08,2.75e-05,per_channel_resample_cnn,0.2,0.5,0.3359830379486084,0.7584742307662964,0.35125190019607544,0.33373162150382996,0.33373162150382996
minipigs,47jd29ds,wczgrx86,poyo_eeg_neurosoft_8band,finished,True,intrasession-block,2,0.08,2.75e-05,per_channel_resample_cnn,0.2,0.5,0.3603646159172058,0.7721401453018188,0.37614020705223083,0.3587917983531952,0.3587917983531952
minipigs,47jd29ds,lalohvan,poyo_eeg_neurosoft_8band,finished,True,intrasession-block,1,0.08,2.75e-05,per_channel_resample_cnn,0.2,0.5,0.3559626340866089,0.7722762823104858,0.3822086453437805,0.3547638952732086,0.3547638952732086
monkeys,83o9h925,91zht5i1,poyo_eeg_neurosoft_8band,finished,False,intrasession-causal,0,0.3,2.5e-05,per_channel_resample_cnn_add,0.4,1.0,0.4993879199028015,0.8727509379386902,0.5008848905563354,0.5062674283981323,0.5062674283981323
minipigs,47jd29ds,skkz2nec,poyo_eeg_neurosoft_8band,finished,True,intrasession-block,0,0.08,2.75e-05,per_channel_resample_cnn,0.2,0.5,0.3627350926399231,0.7824782133102417,0.37913745641708374,0.3648206293582916,0.3648206293582916
monkeys,bvcgw95o,ljqfklu4,poyo_eeg_neurosoft_8band,finished,True,intrasession-block,0,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,1.0,0.49636468291282654,0.8799620866775513,0.4967339038848877,0.5059937238693237,0.5059937238693237
monkeys,bvcgw95o,tpln4yqa,poyo_eeg_neurosoft_8band,finished,True,intrasession-block,2,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,1.0,0.5129966139793396,0.8836374878883362,0.5099746584892273,0.523747980594635,0.523747980594635
monkeys,bvcgw95o,tnspfvt2,poyo_eeg_neurosoft_8band,finished,True,intrasession-block,1,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,1.0,0.4886689782142639,0.8782005906105042,0.48655420541763306,0.4988952875137329,0.4988952875137329
