species,embed_dim,depth,self_heads,cross_heads,channel_emb_fraction,weight_decay,n_folds,f1_mean,f1_std,auroc_mean,auroc_std,precision_mean,precision_std,recall_mean,recall_std,balanced_acc_mean,balanced_acc_std
minipigs,32,2,6,6,1/2,0.08,1,0.3936342000961304,0.0,0.8009076118469238,0.0,0.4048957824707031,0.0,0.39539486169815063,0.0,0.39539486169815063,0.0
minipigs,32,2,6,6,1/3,0.08,1,0.3417108952999115,0.0,0.761310338973999,0.0,0.36660289764404297,0.0,0.34609657526016235,0.0,0.34609657526016235,0.0
minipigs,32,2,6,6,1/3,0.1,1,0.34980788826942444,0.0,0.7619503140449524,0.0,0.3660195469856262,0.0,0.354493111371994,0.0,0.354493111371994,0.0
minipigs,32,2,6,6,1/4,0.08,1,0.37058284878730774,0.0,0.7821636199951172,0.0,0.38278764486312866,0.0,0.36742809414863586,0.0,0.36742809414863586,0.0
minipigs,32,2,6,6,1/4,0.1,1,0.3666332364082336,0.0,0.7827062606811523,0.0,0.38434529304504395,0.0,0.36582517623901367,0.0,0.36582517623901367,0.0
minipigs,32,2,6,8,1/2,0.08,1,0.3804565966129303,0.0,0.7871620655059814,0.0,0.3986740708351135,0.0,0.38068628311157227,0.0,0.38068628311157227,0.0
minipigs,32,2,6,8,1/3,0.08,1,0.35621505975723267,0.0,0.7729364633560181,0.0,0.3768468499183655,0.0,0.3596789240837097,0.0,0.3596789240837097,0.0
minipigs,32,2,6,8,1/4,0.08,1,0.35742896795272827,0.0,0.7750322818756104,0.0,0.3678446412086487,0.0,0.3569016456604004,0.0,0.3569016456604004,0.0
minipigs,32,2,8,6,1/2,0.08,1,0.3852488398551941,0.0,0.789957582950592,0.0,0.3963555097579956,0.0,0.3863445818424225,0.0,0.3863445818424225,0.0
minipigs,32,2,8,6,1/2,0.1,1,0.38411715626716614,0.0,0.7894340753555298,0.0,0.39723652601242065,0.0,0.3867097496986389,0.0,0.3867097496986389,0.0
minipigs,32,2,8,6,1/3,0.08,1,0.362196147441864,0.0,0.775229275226593,0.0,0.37280356884002686,0.0,0.36399370431900024,0.0,0.36399370431900024,0.0
minipigs,32,2,8,6,1/3,0.1,1,0.3599075973033905,0.0,0.776817798614502,0.0,0.36961692571640015,0.0,0.3625732958316803,0.0,0.3625732958316803,0.0
minipigs,32,2,8,6,1/4,0.08,1,0.34020692110061646,0.0,0.7608491778373718,0.0,0.3714015483856201,0.0,0.3431362807750702,0.0,0.3431362807750702,0.0
minipigs,32,2,8,6,1/4,0.1,1,0.3406738042831421,0.0,0.7604129314422607,0.0,0.37448549270629883,0.0,0.3414037823677063,0.0,0.3414037823677063,0.0
minipigs,32,2,8,8,1/2,0.08,1,0.3650439977645874,0.0,0.778977632522583,0.0,0.38361912965774536,0.0,0.3627764582633972,0.0,0.3627764582633972,0.0
minipigs,32,2,8,8,1/3,0.08,1,0.370029479265213,0.0,0.7841500639915466,0.0,0.38491880893707275,0.0,0.37462446093559265,0.0,0.37462446093559265,0.0
minipigs,32,2,8,8,1/4,0.08,1,0.365454375743866,0.0,0.7772603034973145,0.0,0.3787495493888855,0.0,0.3648280203342438,0.0,0.3648280203342438,0.0
minipigs,32,4,6,6,1/2,0.08,1,0.3901769816875458,0.0,0.8014714121818542,0.0,0.3989143371582031,0.0,0.3913272023200989,0.0,0.3913272023200989,0.0
minipigs,32,4,6,6,1/2,0.1,1,0.3927317261695862,0.0,0.8013403415679932,0.0,0.39923974871635437,0.0,0.39315611124038696,0.0,0.39315611124038696,0.0
minipigs,32,4,6,6,1/3,0.08,1,0.35649681091308594,0.0,0.7651110291481018,0.0,0.3745177388191223,0.0,0.3605148494243622,0.0,0.3605148494243622,0.0
minipigs,32,4,6,6,1/3,0.1,1,0.3571232855319977,0.0,0.7658171653747559,0.0,0.3704628646373749,0.0,0.35998255014419556,0.0,0.35998255014419556,0.0
minipigs,32,4,6,6,1/4,0.08,1,0.3518131375312805,0.0,0.7649891376495361,0.0,0.36263036727905273,0.0,0.3520735800266266,0.0,0.3520735800266266,0.0
minipigs,32,4,6,6,1/4,0.1,1,0.3513762354850769,0.0,0.766192615032196,0.0,0.3665494918823242,0.0,0.35137784481048584,0.0,0.35137784481048584,0.0
minipigs,32,4,6,8,1/2,0.08,1,0.38624998927116394,0.0,0.7858713865280151,0.0,0.39233118295669556,0.0,0.3856850266456604,0.0,0.3856850266456604,0.0
minipigs,32,4,6,8,1/3,0.08,1,0.34754109382629395,0.0,0.7657595872879028,0.0,0.3618929982185364,0.0,0.35183924436569214,0.0,0.35183924436569214,0.0
minipigs,32,4,6,8,1/4,0.08,1,0.3670855164527893,0.0,0.7810155153274536,0.0,0.3714101016521454,0.0,0.3732471466064453,0.0,0.3732471466064453,0.0
minipigs,32,4,8,6,1/2,0.08,1,0.3791167736053467,0.0,0.787828803062439,0.0,0.385129451751709,0.0,0.3799595236778259,0.0,0.3799595236778259,0.0
minipigs,32,4,8,6,1/2,0.1,1,0.3769935071468353,0.0,0.7886699438095093,0.0,0.38291576504707336,0.0,0.3773110508918762,0.0,0.3773110508918762,0.0
minipigs,32,4,8,6,1/3,0.08,1,0.3505459129810333,0.0,0.7695394158363342,0.0,0.3651200532913208,0.0,0.3486725091934204,0.0,0.3486725091934204,0.0
minipigs,32,4,8,6,1/3,0.1,1,0.3542969226837158,0.0,0.7703714370727539,0.0,0.37247031927108765,0.0,0.35322803258895874,0.0,0.35322803258895874,0.0
minipigs,32,4,8,6,1/4,0.08,1,0.35458001494407654,0.0,0.7687444090843201,0.0,0.36887574195861816,0.0,0.3565601110458374,0.0,0.3565601110458374,0.0
minipigs,32,4,8,6,1/4,0.1,1,0.35678818821907043,0.0,0.7702195644378662,0.0,0.3726275861263275,0.0,0.35531914234161377,0.0,0.35531914234161377,0.0
minipigs,32,4,8,8,1/2,0.08,1,0.37417733669281006,0.0,0.7801217436790466,0.0,0.38290780782699585,0.0,0.3752250671386719,0.0,0.3752250671386719,0.0
minipigs,32,4,8,8,1/3,0.08,1,0.3612971007823944,0.0,0.7726670503616333,0.0,0.37697654962539673,0.0,0.363023579120636,0.0,0.363023579120636,0.0
minipigs,32,4,8,8,1/4,0.08,1,0.35217756032943726,0.0,0.7671676874160767,0.0,0.35976243019104004,0.0,0.3552522659301758,0.0,0.3552522659301758,0.0
minipigs,64,2,6,6,1/2,0.08,1,0.36567872762680054,0.0,0.7757986187934875,0.0,0.3833938241004944,0.0,0.3645918369293213,0.0,0.3645918369293213,0.0
minipigs,64,2,6,6,1/2,0.1,1,0.3647315502166748,0.0,0.7760635614395142,0.0,0.3822747468948364,0.0,0.36482638120651245,0.0,0.36482638120651245,0.0
minipigs,64,2,6,6,1/3,0.08,1,0.3658270239830017,0.0,0.7784440517425537,0.0,0.376659631729126,0.0,0.3669864237308502,0.0,0.3669864237308502,0.0
minipigs,64,2,6,6,1/3,0.1,1,0.36285510659217834,0.0,0.7792143225669861,0.0,0.3764604926109314,0.0,0.3642701804637909,0.0,0.3642701804637909,0.0
