species,sweep_id,run_id,run_name,state,embed_dim,depth,self_heads,cross_heads,channel_emb_fraction,tokenizer,weight_decay,learning_rate,atn_dropout,grad_clip,fold,split_type,batch_size,f1,auroc,precision,recall,balanced_acc
minipigs,ov9f1g0n,ncx1been,poyo_eeg_neurosoft_8band,finished,32,2,6,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3936342000961304,0.8009076118469238,0.4048957824707031,0.39539486169815063,0.39539486169815063
minipigs,ov9f1g0n,nb7yfcxy,poyo_eeg_neurosoft_8band,finished,32,4,6,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3927317261695862,0.8013403415679932,0.39923974871635437,0.39315611124038696,0.39315611124038696
minipigs,ov9f1g0n,gcgk6o9a,poyo_eeg_neurosoft_8band,finished,32,4,6,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3901769816875458,0.8014714121818542,0.3989143371582031,0.3913272023200989,0.3913272023200989
minipigs,ov9f1g0n,wtio4bq5,poyo_eeg_neurosoft_8band,finished,32,4,6,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.38624998927116394,0.7858713865280151,0.39233118295669556,0.3856850266456604,0.3856850266456604
minipigs,ov9f1g0n,degdevhs,poyo_eeg_neurosoft_8band,finished,32,2,8,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3852488398551941,0.789957582950592,0.3963555097579956,0.3863445818424225,0.3863445818424225
minipigs,ov9f1g0n,kr47pjrz,poyo_eeg_neurosoft_8band,finished,32,2,8,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.38411715626716614,0.7894340753555298,0.39723652601242065,0.3867097496986389,0.3867097496986389
minipigs,ov9f1g0n,bvrkj5wh,poyo_eeg_neurosoft_8band,finished,128,2,6,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3816934227943421,0.787194013595581,0.3905298113822937,0.3832862377166748,0.3832862377166748
minipigs,ov9f1g0n,osv4dwgx,poyo_eeg_neurosoft_8band,finished,256,2,6,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.38144904375076294,0.790440559387207,0.394070565700531,0.37951838970184326,0.37951838970184326
minipigs,ov9f1g0n,to5p28cc,poyo_eeg_neurosoft_8band,finished,128,2,6,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3808330297470093,0.787269115447998,0.39024126529693604,0.3823939263820648,0.3823939263820648
minipigs,ov9f1g0n,fi4v845j,poyo_eeg_neurosoft_8band,finished,32,2,6,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3804565966129303,0.7871620655059814,0.3986740708351135,0.38068628311157227,0.38068628311157227
minipigs,ov9f1g0n,j2rlr6xw,poyo_eeg_neurosoft_8band,finished,256,2,8,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3795155882835388,0.7900712490081787,0.3871959447860718,0.37900155782699585,0.37900155782699585
minipigs,ov9f1g0n,fjua7gfl,poyo_eeg_neurosoft_8band,finished,256,2,6,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37913987040519714,0.7910875082015991,0.3917934000492096,0.37824636697769165,0.37824636697769165
minipigs,ov9f1g0n,iigifmde,poyo_eeg_neurosoft_8band,finished,32,4,8,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3791167736053467,0.787828803062439,0.385129451751709,0.3799595236778259,0.3799595236778259
minipigs,ov9f1g0n,jucinzjd,poyo_eeg_neurosoft_8band,finished,256,2,6,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3785661458969116,0.7903587222099304,0.3955857753753662,0.3770933747291565,0.3770933747291565
minipigs,ov9f1g0n,choem69u,poyo_eeg_neurosoft_8band,finished,128,4,6,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3777259588241577,0.7871257066726685,0.38601136207580566,0.3786078095436096,0.3786078095436096
minipigs,ov9f1g0n,l8y0796m,poyo_eeg_neurosoft_8band,finished,64,2,8,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3770483732223511,0.7838138341903687,0.39282941818237305,0.3743137717247009,0.3743137717247009
minipigs,ov9f1g0n,5wb1br38,poyo_eeg_neurosoft_8band,finished,32,4,8,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3769935071468353,0.7886699438095093,0.38291576504707336,0.3773110508918762,0.3773110508918762
minipigs,ov9f1g0n,unkbvuip,poyo_eeg_neurosoft_8band,finished,256,4,6,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37665998935699463,0.7888892889022827,0.39115384221076965,0.3726985454559326,0.3726985454559326
minipigs,ov9f1g0n,cnnnq7yi,poyo_eeg_neurosoft_8band,finished,128,2,8,8,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37465107440948486,0.7807953357696533,0.38547372817993164,0.37317609786987305,0.37317609786987305
minipigs,ov9f1g0n,ddovvl02,poyo_eeg_neurosoft_8band,finished,256,2,8,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37455761432647705,0.7833760380744934,0.3850433826446533,0.3720206916332245,0.3720206916332245
minipigs,ov9f1g0n,rbv9h4gs,poyo_eeg_neurosoft_8band,finished,256,2,8,6,1/3,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3743806481361389,0.7827320098876953,0.3859666585922241,0.3715885877609253,0.3715885877609253
minipigs,ov9f1g0n,2klxlnjn,poyo_eeg_neurosoft_8band,finished,32,4,8,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37417733669281006,0.7801217436790466,0.38290780782699585,0.3752250671386719,0.3752250671386719
minipigs,ov9f1g0n,jxsbs5oz,poyo_eeg_neurosoft_8band,finished,64,2,8,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3733687698841095,0.783545732498169,0.39166420698165894,0.373626172542572,0.373626172542572
minipigs,ov9f1g0n,l5ssl6w5,poyo_eeg_neurosoft_8band,finished,128,2,8,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37331587076187134,0.7856591939926147,0.38488447666168213,0.3731374740600586,0.3731374740600586
minipigs,ov9f1g0n,503pq4jk,poyo_eeg_neurosoft_8band,finished,256,4,8,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37313738465309143,0.776207447052002,0.3761359453201294,0.3735008239746094,0.3735008239746094
minipigs,ov9f1g0n,pgqh1noj,poyo_eeg_neurosoft_8band,finished,256,4,8,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3723132610321045,0.7846702933311462,0.398337721824646,0.3726874589920044,0.3726874589920044
minipigs,ov9f1g0n,lt8ojts9,poyo_eeg_neurosoft_8band,finished,128,4,8,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3716873824596405,0.7745873928070068,0.38070106506347656,0.3689884543418884,0.3689884543418884
minipigs,ov9f1g0n,u7t20hxa,poyo_eeg_neurosoft_8band,finished,128,2,6,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3711652457714081,0.7757167816162109,0.39217764139175415,0.3682466745376587,0.3682466745376587
minipigs,ov9f1g0n,lyodfb3k,poyo_eeg_neurosoft_8band,finished,128,2,6,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3710523247718811,0.7894622087478638,0.3883892893791199,0.3706820607185364,0.3706820607185364
minipigs,ov9f1g0n,jvpgppua,poyo_eeg_neurosoft_8band,finished,128,4,8,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3708425760269165,0.7821135520935059,0.3880755305290222,0.3716053068637848,0.3716053068637848
minipigs,ov9f1g0n,692zf4ws,poyo_eeg_neurosoft_8band,finished,256,4,6,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3708237409591675,0.777890145778656,0.38250619173049927,0.36739692091941833,0.36739692091941833
minipigs,ov9f1g0n,h7ed2tr7,poyo_eeg_neurosoft_8band,finished,32,2,6,6,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37058284878730774,0.7821636199951172,0.38278764486312866,0.36742809414863586,0.36742809414863586
minipigs,ov9f1g0n,recsx2bh,poyo_eeg_neurosoft_8band,finished,128,2,8,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.37025824189186096,0.7885928153991699,0.3795902729034424,0.36794063448905945,0.36794063448905945
minipigs,ov9f1g0n,ve82frb3,poyo_eeg_neurosoft_8band,finished,32,2,8,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.370029479265213,0.7841500639915466,0.38491880893707275,0.37462446093559265,0.37462446093559265
minipigs,ov9f1g0n,wdzxas9z,poyo_eeg_neurosoft_8band,finished,128,4,8,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36993616819381714,0.7827943563461304,0.38725197315216064,0.3694194555282593,0.3694194555282593
minipigs,ov9f1g0n,xj4gw8bi,poyo_eeg_neurosoft_8band,finished,64,2,6,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.369868129491806,0.7808617949485779,0.38675278425216675,0.37109482288360596,0.37109482288360596
minipigs,ov9f1g0n,t11uuz4c,poyo_eeg_neurosoft_8band,finished,128,2,8,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36899590492248535,0.7881299257278442,0.3796986937522888,0.366235613822937,0.366235613822937
