species,sweep_id,run_id,run_name,state,label_scheme,smoothing,cw_mode,fold,weight_decay,learning_rate,tokenizer,atn_dropout,split_type,f1,auroc,precision,recall,balanced_acc
minipigs,w8y76p9g,lnnwguzk,poyo_eeg_neurosoft_8band,finished,pure-freq,0.75,,0,0.1,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.35720348358154297,0.7671269774436951,0.36811208724975586,0.3566974699497223,0.3566974699497223
minipigs,w8y76p9g,3xdwhszv,poyo_eeg_neurosoft_8band,finished,pure-freq,0.75,,1,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.3571068346500397,0.7709654569625854,0.35899117588996887,0.3580027222633362,0.3580027222633362
monkeys,xtnzcpor,vvtukicc,poyo_eeg_neurosoft_8band,finished,pure-freq,1.0,,1,0.3,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.5073493719100952,0.890781044960022,0.5167272686958313,0.506169319152832,0.506169319152832
minipigs,w8y76p9g,kobvixpt,poyo_eeg_neurosoft_8band,finished,pure-freq,0.75,,1,0.1,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.35566553473472595,0.770641565322876,0.3563864827156067,0.35820627212524414,0.35820627212524414
minipigs,w8y76p9g,67xp3zu1,poyo_eeg_neurosoft_8band,finished,pure-freq,0.75,,2,0.1,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.3505249619483948,0.7655457258224487,0.35286229848861694,0.3494502604007721,0.3494502604007721
minipigs,w8y76p9g,4rqo2sup,poyo_eeg_neurosoft_8band,finished,pure-freq,0.75,,0,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.3612498342990875,0.7674791812896729,0.36859506368637085,0.36132052540779114,0.36132052540779114
minipigs,w8y76p9g,wxzaxil0,poyo_eeg_neurosoft_8band,finished,pure-freq,0.75,,2,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.350555419921875,0.7668784856796265,0.3525726795196533,0.35080087184906006,0.35080087184906006
monkeys,xtnzcpor,jfuyagu9,poyo_eeg_neurosoft_8band,finished,pure-freq,1.0,,1,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.5015788078308105,0.8925520181655884,0.5155872702598572,0.5047957897186279,0.5047957897186279
monkeys,xtnzcpor,razutsi0,poyo_eeg_neurosoft_8band,finished,pure-freq,1.0,,2,0.3,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.529143750667572,0.8972837924957275,0.540327250957489,0.5335146188735962,0.5335146188735962
monkeys,xtnzcpor,br8pc3eb,poyo_eeg_neurosoft_8band,finished,pure-freq,1.0,,0,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.5276654958724976,0.8986951112747192,0.5390122532844543,0.5218830108642578,0.5218830108642578
monkeys,xtnzcpor,yhfguuwe,poyo_eeg_neurosoft_8band,finished,pure-freq,1.0,,2,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.5242671966552734,0.8969472646713257,0.5283393859863281,0.5289597511291504,0.5289597511291504
minipigs,w74jfier,4st4nl9g,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.5,,1,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.35569220781326294,0.7707117795944214,0.35902804136276245,0.3632463216781616,0.3632463216781616
minipigs,w74jfier,t4pf8pyr,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.5,,0,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.36901041865348816,0.786819338798523,0.37486493587493896,0.37906312942504883,0.37906312942504883
monkeys,xtnzcpor,om0te39h,poyo_eeg_neurosoft_8band,finished,pure-freq,1.0,,0,0.3,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.5292308330535889,0.9001641273498535,0.5447630882263184,0.5258298516273499,0.5258298516273499
minipigs,w74jfier,wj09rzw3,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.75,,0,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.3764728307723999,0.7849016189575195,0.378044992685318,0.38287317752838135,0.38287317752838135
minipigs,w74jfier,43nvupdm,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.5,,2,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.35739344358444214,0.7701072096824646,0.361738383769989,0.3633454144001007,0.3633454144001007
minipigs,w74jfier,vxtomyo3,poyo_eeg_neurosoft_8band,finished,multi-freq bands,1.0,,0,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.3725307881832123,0.7885454893112183,0.373358815908432,0.3873538374900818,0.3873538374900818
minipigs,w74jfier,srby6m1h,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.75,,1,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.35483717918395996,0.7727388739585876,0.3549728989601135,0.36266547441482544,0.36266547441482544
minipigs,w74jfier,qkuu79uh,poyo_eeg_neurosoft_8band,finished,multi-freq bands,1.0,,1,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.3442043960094452,0.7708864808082581,0.34944385290145874,0.3585973083972931,0.3585973083972931
minipigs,w74jfier,4xee5g6m,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.75,,2,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.3585127294063568,0.7685056924819946,0.3606705665588379,0.36472830176353455,0.36472830176353455
monkeys,nxx4a4pn,bxy6sm7l,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.5,,0,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.4943070113658905,0.879418134689331,0.49258336424827576,0.5049961805343628,0.5049961805343628
monkeys,nxx4a4pn,l8dk1lip,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.5,,1,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.48415639996528625,0.8772863149642944,0.48243486881256104,0.4966924786567688,0.4966924786567688
minipigs,w74jfier,u3l01kya,poyo_eeg_neurosoft_8band,finished,multi-freq bands,1.0,,2,0.08,2.75e-05,per_channel_resample_cnn,0.2,intrasession-block,0.3474193215370178,0.7691136598587036,0.3636777400970459,0.36003541946411133,0.36003541946411133
monkeys,nxx4a4pn,px7ssgp0,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.5,,2,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.5143339037895203,0.8863279819488525,0.5120177268981934,0.527202308177948,0.527202308177948
monkeys,nxx4a4pn,nplojx6d,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.75,,0,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.4970475733280182,0.8809438943862915,0.497342586517334,0.5102304816246033,0.5102304816246033
monkeys,nxx4a4pn,m0h2hnhv,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.75,,1,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.4886220395565033,0.8801300525665283,0.48826801776885986,0.5020584464073181,0.5020584464073181
monkeys,nxx4a4pn,vv4a5uv7,poyo_eeg_neurosoft_8band,finished,multi-freq bands,1.0,,0,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.5041117072105408,0.8847172856330872,0.5019400715827942,0.5190340280532837,0.5190340280532837
monkeys,nxx4a4pn,sm9y8hg1,poyo_eeg_neurosoft_8band,finished,multi-freq bands,1.0,,1,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.4962175786495209,0.8808666467666626,0.49597325921058655,0.5146066546440125,0.5146066546440125
monkeys,nxx4a4pn,5r6ho2rd,poyo_eeg_neurosoft_8band,finished,multi-freq bands,0.75,,2,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.5138640403747559,0.8847359418869019,0.5129421949386597,0.5226558446884155,0.5226558446884155
monkeys,nxx4a4pn,5up66nyf,poyo_eeg_neurosoft_8band,finished,multi-freq bands,1.0,,2,0.08,2.5e-05,per_channel_resample_cnn_add,0.4,intrasession-block,0.5085128545761108,0.8856910467147827,0.5060023069381714,0.5263253450393677,0.5263253450393677
