task,mode,sweep_id,n_found,n_finished,mean,std
Brain Invaders P300,Finetune,M0,3,3,0.33365190029144287,0.021012071351580768
Brain Invaders P300,Finetune,M1,3,3,0.3319375514984131,0.02331527505393614
Brain Invaders P300,Finetune,M2,3,3,0.3273831109205882,0.019932883530183937
Brain Invaders P300,Finetune,M3,3,3,0.3253770073254903,0.019074867501145305
Brain Invaders P300,Finetune,M4,3,3,0.3328530192375183,0.021264868635777416
Brain Invaders P300,Linear probe,M0,3,3,0.30008769035339355,0.016942934175229192
Brain Invaders P300,Linear probe,M1,3,3,0.30347702900568646,0.012360472402221205
Brain Invaders P300,Linear probe,M2,3,3,0.3005150059858958,0.012623432461635479
Brain Invaders P300,Linear probe,M3,3,3,0.2942955493927002,0.010006971084531125
Brain Invaders P300,Linear probe,M4,3,3,0.295097291469574,0.010897931678970048
Kemp Sleep,Finetune,M0,3,0,,
Kemp Sleep,Finetune,M1,3,0,,
Kemp Sleep,Finetune,M2,3,0,,
Kemp Sleep,Finetune,M3,3,0,,
Kemp Sleep,Finetune,M4,3,0,,
Kemp Sleep,Linear probe,M0,3,3,0.6362491448720297,0.010797836818544035
Kemp Sleep,Linear probe,M1,3,1,0.6103626489639282,
Kemp Sleep,Linear probe,M2,3,2,0.615836501121521,0.003254158173526128
Kemp Sleep,Linear probe,M3,3,1,0.5540711879730225,
Kemp Sleep,Linear probe,M4,3,0,,
PhysioNet MI,Finetune,M0,3,3,0.8841530283292135,0.0422198877541783
PhysioNet MI,Finetune,M1,3,3,0.8841850161552429,0.03684274376433989
PhysioNet MI,Finetune,M2,3,3,0.8806197245915731,0.04786724559090875
PhysioNet MI,Finetune,M3,3,3,0.8837962945302328,0.04424428233642695
PhysioNet MI,Finetune,M4,3,3,0.8900531331698099,0.04087826171179
PhysioNet MI,Linear probe,M0,3,3,0.652664045492808,0.03807205754321043
PhysioNet MI,Linear probe,M1,3,3,0.6519117951393127,0.027714508701629836
PhysioNet MI,Linear probe,M2,3,3,0.6465986569722494,0.0332457804358239
PhysioNet MI,Linear probe,M3,3,3,0.6494783759117126,0.032509643650156045
PhysioNet MI,Linear probe,M4,3,3,0.6452177961667379,0.02935637156004708
