setting,target,single_f1,joint_f1,delta_f1
baseline,minipigs,0.3291180134,0.3119560182,-0.0171619952
baseline,monkeys,0.4499965012,0.3883019090,-0.0616945922
large,minipigs,0.3280733824,0.3128932118,-0.0151801705
large,monkeys,0.4287760556,0.4078062475,-0.0209698081
medium,minipigs,0.3130476475,0.3246106803,0.0115630329
medium,monkeys,0.4346777201,0.4141643047,-0.0205134153
latent,minipigs,0.3229777813,0.3090137839,-0.0139639974
latent,monkeys,0.4339708686,0.4066639543,-0.0273069143
weighted,minipigs,0.3134803474,0.3104920387,-0.0029883087
weighted,monkeys,0.4344042242,0.4073438048,-0.0270604193
reg,minipigs,0.3171516955,0.3163400292,-0.0008116663
reg,monkeys,0.4177000523,0.3902567029,-0.0274433494
wreg,minipigs,0.3081117868,0.3069516122,-0.0011601746
wreg,monkeys,0.4312998056,0.3950430155,-0.0362567902
