target,aux_source,added_aux_band,fixed_same_class,fixed_other_classes,fixed_total,other_fraction
monkeys,minipigs,low_bass,97,473,570,0.8298245614035088
monkeys,minipigs,mid_bass,54,467,521,0.8963531669865643
monkeys,minipigs,low_mids,76,482,558,0.8637992831541219
monkeys,minipigs,midrange,85,470,555,0.8468468468468469
monkeys,minipigs,high_mids,106,464,570,0.8140350877192982
monkeys,minipigs,low_treble,52,466,518,0.8996138996138996
monkeys,minipigs,mid_treble,71,524,595,0.880672268907563
monkeys,minipigs,high_treble,75,492,567,0.8677248677248677
minipigs,monkeys,low_bass,59,436,495,0.8808080808080808
minipigs,monkeys,mid_bass,59,440,499,0.8817635270541082
minipigs,monkeys,low_mids,35,470,505,0.9306930693069307
minipigs,monkeys,midrange,49,432,481,0.8981288981288982
minipigs,monkeys,high_mids,58,460,518,0.888030888030888
minipigs,monkeys,low_treble,22,503,525,0.9580952380952381
minipigs,monkeys,mid_treble,40,509,549,0.9271402550091075
minipigs,monkeys,high_treble,135,398,533,0.7467166979362101
