target,aux_source,band,uniform_n,baseline_balanced_acc,oneband_best_balanced_acc,uniform_best_balanced_acc,oneband_delta_pp,uniform_delta_pp,oneband_minus_uniform_pp
monkeys,minipigs,low_bass,3728,0.42028,0.425,0.427,0.4720000000000002,0.6720000000000004,-0.20000000000000018
monkeys,minipigs,mid_bass,2164,0.42028,0.427,0.418,0.6720000000000004,-0.22800000000000042,0.9000000000000008
monkeys,minipigs,low_mids,2374,0.42028,0.43321,0.419,1.2929999999999997,-0.12800000000000034,1.421
monkeys,minipigs,midrange,2965,0.42028,0.44,0.43209,1.9720000000000015,1.1809999999999987,0.7910000000000028
monkeys,minipigs,high_mids,2765,0.42028,0.428,0.43124,0.7720000000000005,1.0960000000000025,-0.32400000000000206
monkeys,minipigs,low_treble,1834,0.42028,0.409,0.414,-1.1280000000000012,-0.6280000000000008,-0.5000000000000004
monkeys,minipigs,mid_treble,2672,0.42028,0.451,0.41435,3.0720000000000027,-0.5929999999999991,3.665000000000002
monkeys,minipigs,high_treble,4209,0.42028,0.442,0.419,2.1720000000000015,-0.12800000000000034,2.300000000000002
minipigs,monkeys,low_bass,3530,0.32846,0.33009,0.32402,0.16300000000000203,-0.44399999999999995,0.607000000000002
minipigs,monkeys,mid_bass,2377,0.32846,0.325,0.33022,-0.3459999999999963,0.17600000000000393,-0.5220000000000002
minipigs,monkeys,low_mids,2626,0.32846,0.33112,0.32134,0.2660000000000051,-0.711999999999996,0.9780000000000011
minipigs,monkeys,midrange,3334,0.32846,0.31716,0.328,-1.1299999999999977,-0.045999999999996044,-1.0840000000000016
minipigs,monkeys,high_mids,3307,0.32846,0.322,0.322,-0.6459999999999966,-0.6459999999999966,0.0
minipigs,monkeys,low_treble,1953,0.32846,0.32635,0.319,-0.21100000000000008,-0.9459999999999968,0.7349999999999968
minipigs,monkeys,mid_treble,2878,0.32846,0.331,0.311,0.2540000000000042,-1.7459999999999976,2.0000000000000018
minipigs,monkeys,high_treble,3645,0.32846,0.34046,0.324,1.200000000000001,-0.4459999999999964,1.6459999999999975
