target,band,label_id,label_name,n,baseline_correct,aux_correct,both_correct,both_wrong,fixed_by_aux,broken_by_aux,baseline_acc,aux_acc,net_fixed,net_fixed_rate
monkeys,low_bass,0,low_bass,571,242,240,143,232,97,99,0.4238178633975482,0.4203152364273205,-2,-0.0035026269702276708
monkeys,low_bass,1,mid_bass,333,142,134,93,150,41,49,0.4264264264264264,0.4024024024024024,-8,-0.024024024024024024
monkeys,low_bass,2,low_mids,437,150,146,95,236,51,55,0.34324942791762014,0.3340961098398169,-4,-0.009153318077803204
monkeys,low_bass,3,midrange,540,185,170,92,277,78,93,0.3425925925925926,0.3148148148148148,-15,-0.027777777777777776
monkeys,low_bass,4,high_mids,544,225,249,153,223,96,72,0.41360294117647056,0.4577205882352941,24,0.04411764705882353
monkeys,low_bass,5,low_treble,256,94,98,50,114,48,44,0.3671875,0.3828125,4,0.015625
monkeys,low_bass,6,mid_treble,466,257,254,191,146,63,66,0.5515021459227468,0.5450643776824035,-3,-0.006437768240343348
monkeys,low_bass,7,high_treble,593,296,324,228,201,96,68,0.4991568296795953,0.5463743676222597,28,0.047217537942664416
monkeys,mid_bass,0,low_bass,571,242,195,133,267,62,109,0.4238178633975482,0.3415061295971979,-47,-0.08231173380035026
monkeys,mid_bass,1,mid_bass,333,142,154,100,137,54,42,0.4264264264264264,0.4624624624624625,12,0.036036036036036036
monkeys,mid_bass,2,low_mids,437,150,142,87,232,55,63,0.34324942791762014,0.32494279176201374,-8,-0.018306636155606407
monkeys,mid_bass,3,midrange,540,185,195,122,282,73,63,0.3425925925925926,0.3611111111111111,10,0.018518518518518517
monkeys,mid_bass,4,high_mids,544,225,238,145,226,93,80,0.41360294117647056,0.4375,13,0.02389705882352941
monkeys,mid_bass,5,low_treble,256,94,111,64,115,47,30,0.3671875,0.43359375,17,0.06640625
monkeys,mid_bass,6,mid_treble,466,257,259,204,154,55,53,0.5515021459227468,0.555793991416309,2,0.004291845493562232
monkeys,mid_bass,7,high_treble,593,296,306,224,215,82,72,0.4991568296795953,0.5160202360876898,10,0.016863406408094434
monkeys,low_mids,0,low_bass,571,242,219,140,250,79,102,0.4238178633975482,0.38353765323992994,-23,-0.040280210157618214
monkeys,low_mids,1,mid_bass,333,142,158,106,139,52,36,0.4264264264264264,0.4744744744744745,16,0.04804804804804805
monkeys,low_mids,2,low_mids,437,150,173,97,211,76,53,0.34324942791762014,0.39588100686498856,23,0.05263157894736842
